排名,代號,名稱,成交,漲跌價,漲跌幅,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,ROA(%),ROA增減,ROE(%),ROE增減,EPS(元),EPS增減(元),財報評分
1,6158,禾昌,26.25,-0.5,-1.9,2018,17.3,+5.33,5.67,+20.4,3.86,+430,32.7,+4.1,22.3,+17.9,11.3,+9.25,16.3,+13.4,3.65,+2.98,64
2,1441,大東,14.3,0,0,2018,16.2,+0.1,-0.44,-498,9.05,+430,-2.73,-2.27,55.7,+72.6,30.8,+39.4,91.6,+141,11.66,+15.5,53
3,2327,國巨,253,-4.5,-1.7,2018,772,+139,488,+365,338,+394,63.3,+30.8,43.9,+23.2,35.2,+24.3,74.6,+50.8,80.3,+64.7,81
4,5488,松普,7.93,+0.02,+0.3,2018,15.4,-10.1,1.92,-7.27,1.68,+1409,12.5,+0.38,11,+11.7,11.1,+12,16.5,+17.8,1.84,+1.98,57
5,9188,精熙-DR,3.77,-0.08,-2.1,2012,26.9,-27.1,5.32,-28.9,0.02,-99.1,19.8,-0.49,0.06,-5.41,0.03,-3.59,0.04,-4.14,0,-0.24,41
6,1316,上曜,12.05,0,0,2018,15.2,-29.5,4.46,-29.6,1.66,-50.8,29.3,-0.02,15.2,+0.12,4.45,-2.96,8.17,-5.91,1.39,-1.78,47
7,3090,日電貿,43.7,-0.45,-1,2018,107,+29.4,29.7,+109,15.3,+163,27.8,+10.6,14.8,+7.55,19.6,+11.4,38,+19.4,8.56,+5.06,55
8,3310,佳穎,33.8,-0.1,-0.3,2018,27.4,+72.3,4.87,+43.4,2.72,+284,17.8,-3.59,9.91,+5.46,6.8,+5.33,20.8,+15.7,4.64,+3.73,45
9,5864,致和證,8.98,+0.02,+0.2,2018,3.79,+5.87,3.61,+6.01,4.45,+253,95.4,+0.13,118,+82.2,9.09,+6.44,13.3,+9.25,2.01,+1.42,66
10,1808,潤隆,61.9,+1.1,+1.8,2018,138,+216,35.1,+253,21.9,+280,25.3,+2.64,15.8,+2.64,9.11,+6.51,36.6,+24.9,8.11,+5.73,55
11,8066,來思達,78.4,-0.6,-0.8,2018,79.8,+4.6,12.6,+5.85,3.97,+34.2,15.8,+0.19,5.65,+0.35,22,-0.65,46.5,-1.53,13.11,+2.85,50
12,1453,大將,7.95,-0.05,-0.6,2018,0.28,-55.9,0,+81.3,3.36,+1336,-1.69,+2.3,1186,+1227,24.8,+26.9,29,+31.7,3.74,+4.04,57
13,3712,永崴投控,20.2,0,0,2018,32.8,無資訊,3.21,無資訊,-1.67,無資訊,9.79,無資訊,-5.08,無資訊,-1.07,無資訊,-2.3,無資訊,-1.24,無資訊,32
14,2069,運錩,20.65,+0.05,+0.2,2018,85.5,+0.12,5.01,-26.4,8.71,+316,5.86,-2.11,10.2,+7.73,10.9,+7.8,26.3,+18.8,5.9,+4.35,43
15,6654,天正國際,50.4,+0.2,+0.4,2018,12.2,+81.8,4.37,+136,2.57,+162,35.9,+8.24,21.1,+6.47,20.9,+9.32,40,+12.3,9.13,+4.98,68
16,2442,新美齊,12.65,-0.2,-1.6,2018,61.3,+219,15,+402,8.24,+894,24.6,+8.95,14.3,+19.6,11.4,+13,27.3,+31.5,3.46,+3.9,53
17,4807,日成-KY,34.15,+0.4,+1.2,2018,29.3,+36.2,8.75,+32.5,2.06,+62.5,29.9,-0.83,12.6,+2.17,22.1,+5.75,29.3,+5.45,5.41,+1.9,66
18,6266,泰詠,20.9,-0.15,-0.7,2018,31.6,+34,4.83,+49.4,2.6,+116,15.3,+1.57,8.21,+3.13,10.9,+5.24,17.3,+8.8,2.82,+1.52,51
19,3623,富晶通,21.65,+0.05,+0.2,2018,7.91,-11.1,1.51,-31.9,0.74,-28.8,19.1,-5.85,9.35,-2.34,9.57,-2.5,13,-3.67,2.56,-0.53,55
20,5213,亞昕,17.75,-0.05,-0.3,2018,57,+26.5,15.8,+17.8,7.1,-2.47,27.6,-2.05,12.2,-3.04,2.7,+0.14,8.36,-0.36,2.05,+0.07,45
21,2492,華新科,146,-1.5,-1,2018,478,+121,288,+413,197,+655,60.4,+34.4,43,+30,41.7,+32.9,72.8,+56.9,40.75,+35.6,79
22,3402,漢科,27.25,+0.05,+0.2,2018,37.2,+9.29,6.56,+25,2.6,+28.3,17.6,+2.22,6.99,+1.03,8.19,+1.91,18.5,+3.42,3.56,+0.79,41
23,4714,永捷,14.5,-0.15,-1,2018,5.51,+1.82,0.73,-8.74,0.89,+1232,13.2,-1.52,16.1,+17.6,5.16,+5.74,6.71,+7.38,0.98,+1.08,47
24,2456,奇力新,73.5,-1.9,-2.5,2018,176,+38.9,61.3,+82,28.8,+146,34.9,+8.28,16.3,+4.62,9.05,-0.17,17.2,-6.34,11.54,+4.44,55
25,3167,大量,32.5,-0.05,-0.2,2018,39.9,+12.6,11.2,+12.9,4.34,+25,28.1,+0.07,11.2,+1.38,9.51,+1.42,23.6,+2.79,5.42,+1.08,53
26,5525,順天,27.95,-0.25,-0.9,2018,41.9,+183,13.4,+157,9.28,+232,31.9,-3.26,22.2,+3.3,8.91,+6.14,21.4,+14.6,4.31,+3.11,53
27,1101,台泥,37.85,-0.1,-0.3,2018,"1,246",+26.7,336,+77.6,212,+179,27,+7.72,18.2,+7.67,7.34,+3.52,12.9,+6.06,4.37,+2.34,53
28,3026,禾伸堂,85.3,-0.2,-0.2,2018,164,+24.7,57.5,+137,27.8,+217,35.1,+16.7,16.4,+10.8,20.2,+14.2,29,+20.4,17.61,+13.2,66
29,5015,華祺,40,-0.3,-0.7,2018,26.2,+7.08,5.55,+13.7,3.05,+50.4,21.2,+1.22,11.6,+3.35,15.2,+3.83,25.1,+7.17,5.02,+1.68,62
30,1463,強盛,13.4,0,0,2018,9.73,-43.5,3.52,-57.4,2.66,-53.5,36.2,-11.9,31.7,-8.11,10.6,-9.54,11.9,-13.3,1.62,-1.88,83
31,6496,科懋,38.3,-0.4,-1,2018,16.9,-1.54,5.86,-12.3,2.22,-20.7,34.7,-4.25,13.1,-3.17,13.4,-4.08,16.4,-5.27,4.75,-1.24,66
32,8112,至上,28.9,0,0,2018,"1,422",+15.9,38.1,+13.5,14.4,+1.06,2.68,-0.06,1.1,-0.17,5.36,+0.03,19.4,-1.45,3.85,-0.1,30
33,3092,鴻碩,48.25,+0.45,+0.9,2018,31.2,+19.6,8.15,+11,3.94,+17.8,26.1,-2.01,12.6,-0.18,12,+0.44,23.8,+1.66,5.54,+0.74,55
